id,Machine_failure_pred,Machine_failure_prob
136636,0,0.0136
136637,0,0.0034
136638,1,0.9962
136639,0,0.0052
136640,0,0.0124
136641,0,0.002
136642,0,0.0021
136643,0,0.0401
136644,0,0.001
136645,0,0.001
136646,0,0.0008
136647,0,0.0113
136648,0,0.0186
136649,0,0.0021
136650,0,0.0051
136651,0,0.001
136652,1,0.9876
136653,0,0.0016
136654,0,0.0018
136655,0,0.0053
136656,0,0.0045
136657,0,0.004
136658,0,0.0017
136659,0,0.0022
136660,0,0.0018
136661,0,0.0043
136662,0,0.0118
136663,0,0.0026
136664,0,0.0182
136665,0,0.0016
136666,0,0.0004
136667,0,0.0178
136668,0,0.0034
136669,0,0.0025
136670,0,0.0047
136671,0,0.0019
136672,0,0.0021
136673,0,0.0013
136674,0,0.0006
136675,0,0.003
136676,0,0.0029
136677,0,0.0028
136678,0,0.0013
136679,0,0.0018
136680,0,0.0059
136681,0,0.0018
136682,0,0.0018
136683,0,0.0018
136684,0,0.0048
136685,0,0.0121
136686,0,0.0027
136687,0,0.0045
136688,0,0.0056
136689,0,0.0063
136690,0,0.0031
136691,0,0.0145
136692,0,0.0028
136693,0,0.0008
136694,0,0.0009
136695,0,0.0019
136696,0,0.006
136697,0,0.0005
136698,0,0.0066
136699,0,0.0042
136700,0,0.0014
136701,0,0.0022
136702,0,0.0012
136703,0,0.009
136704,0,0.0007
136705,0,0.0007
136706,0,0.0015
136707,0,0.0035
136708,0,0.0114
136709,0,0.0002
136710,0,0.0021
136711,0,0.0039
136712,0,0.0005
136713,0,0.0022
136714,0,0.0117
136715,0,0.0065
136716,0,0.0016
136717,0,0.005
136718,0,0.0155
136719,0,0.0027
136720,0,0.0002
136721,0,0.0019
136722,0,0.0012
136723,0,0.0019
136724,0,0.0022
136725,0,0.0028
136726,0,0.0014
136727,0,0.0015
136728,0,0.001
136729,0,0.003
136730,0,0.0009
136731,0,0.0101
136732,0,0.0025
136733,0,0.0019
136734,0,0.0018
136735,0,0.0014
136736,0,0.0027
136737,0,0.0012
136738,0,0.0019
136739,0,0.0065
136740,0,0.0021
136741,0,0.0214
136742,0,0.0029
136743,0,0.0029
136744,0,0.0021
136745,0,0.006
136746,0,0.0023
136747,0,0.002
136748,0,0.0011
136749,0,0.0008
136750,0,0.0034
136751,0,0.002
136752,0,0.0009
136753,0,0.0154
136754,0,0.0024
136755,0,0.0109
136756,0,0.0011
136757,0,0.0089
136758,0,0.0018
136759,0,0.0021
136760,0,0.0015
136761,0,0.001
136762,0,0.0264
136763,0,0.0029
136764,0,0.0018
136765,0,0.0034
136766,0,0.0036
136767,0,0.0068
136768,0,0.0014
136769,0,0.0022
136770,0,0.0021
136771,0,0.0039
136772,0,0.0146
136773,0,0.0011
136774,0,0.0014
136775,0,0.0107
136776,0,0.0006
136777,0,0.0016
136778,0,0.0028
136779,0,0.0023
136780,0,0.0007
136781,0,0.006
136782,0,0.002
136783,0,0.0004
136784,0,0.0012
136785,0,0.0038
136786,0,0.0026
136787,0,0.0045
136788,0,0.0116
136789,0,0.0021
136790,0,0.0008
136791,0,0.0024
136792,0,0.0051
136793,0,0.0013
136794,0,0.0054
136795,0,0.0037
136796,0,0.0033
136797,0,0.0034
136798,0,0.0051
136799,0,0.0031
136800,0,0.0021
136801,0,0.0015
136802,0,0.0026
136803,0,0.0016
136804,0,0.0016
136805,0,0.0032
136806,0,0.0008
136807,0,0.002
136808,0,0.0021
136809,0,0.0009
136810,0,0.0057
136811,0,0.0074
136812,0,0.0006
136813,0,0.018
136814,0,0.0031
136815,0,0.0007
136816,0,0.0009
136817,0,0.0012
136818,0,0.0055
136819,0,0.0007
136820,0,0.0009
136821,0,0.0011
136822,0,0.0127
136823,0,0.0017
136824,0,0.0007
136825,0,0.0018
136826,1,0.9963
136827,0,0.0004
136828,0,0.0012
136829,0,0.0038
136830,0,0.0026
136831,0,0.0012
136832,0,0.0026
136833,0,0.0009
136834,1,0.9988
136835,0,0.0026
136836,0,0.0021
136837,0,0.0019
136838,0,0.002
136839,0,0.0007
136840,0,0.0029
136841,0,0.005
136842,0,0.0027
136843,0,0.0013
136844,0,0.0035
136845,0,0.0026
136846,0,0.0019
136847,0,0.0008
136848,0,0.0017
136849,0,0.0024
136850,0,0.0032
136851,0,0.0017
136852,0,0.0043
136853,0,0.0048
136854,0,0.0019
136855,0,0.0037
136856,0,0.0205
136857,0,0.0039
136858,0,0.0023
136859,0,0.001
136860,0,0.0016
136861,0,0.001
136862,0,0.0055
136863,0,0.0007
136864,0,0.0004
136865,0,0.003
136866,0,0.003
136867,0,0.0079
136868,0,0.0013
136869,0,0.0026
136870,0,0.0032
136871,0,0.0009
136872,0,0.0034
136873,0,0.0009
136874,0,0.0006
136875,0,0.0015
136876,0,0.0011
136877,0,0.0034
136878,0,0.0004
136879,0,0.0058
136880,0,0.0031
136881,0,0.0028
136882,0,0.0008
136883,0,0.001
136884,0,0.0019
136885,0,0.0164
136886,0,0.0011
136887,0,0.0017
136888,0,0.0053
136889,0,0.0027
136890,0,0.0023
136891,0,0.0024
136892,0,0.0016
136893,0,0.0023
136894,0,0.0007
136895,0,0.0016
136896,0,0.0011
136897,0,0.0051
136898,0,0.002
136899,0,0.0017
136900,0,0.0017
136901,0,0.002
136902,0,0.0017
136903,0,0.0006
136904,0,0.003
136905,0,0.0018
136906,0,0.0008
136907,0,0.0022
136908,0,0.0013
136909,0,0.0018
136910,0,0.0035
136911,0,0.0041
136912,0,0.007
136913,0,0.0074
136914,0,0.0012
136915,0,0.0031
136916,0,0.001
136917,0,0.0023
136918,0,0.0009
136919,0,0.0025
136920,0,0.0011
136921,0,0.0084
136922,0,0.0015
136923,0,0.0012
136924,0,0.0011
136925,0,0.0005
136926,0,0.0007
136927,0,0.0017
136928,0,0.002
136929,0,0.0032
136930,0,0.0027
136931,0,0.0112
136932,0,0.0062
136933,0,0.0017
136934,0,0.0032
136935,0,0.0013
136936,0,0.0055
136937,0,0.0008
136938,0,0.001
136939,0,0.0011
136940,0,0.0019
136941,0,0.0137
136942,0,0.0013
136943,0,0.0015
136944,0,0.0771
136945,0,0.0076
136946,0,0.0047
136947,0,0.0032
136948,0,0.0008
136949,0,0.0041
136950,0,0.0018
136951,0,0.0025
136952,0,0.0008
136953,0,0.0023
136954,0,0.0004
136955,0,0.0014
136956,0,0.0012
136957,0,0.0021
136958,0,0.0029
136959,0,0.0023
136960,1,0.9948
136961,0,0.0067
136962,0,0.0022
136963,0,0.0077
136964,0,0.0044
136965,0,0.0106
136966,0,0.0113
136967,0,0.0021
136968,0,0.0111
136969,0,0.0006
136970,0,0.0058
136971,0,0.0044
136972,0,0.0038
136973,0,0.0049
136974,0,0.0005
136975,0,0.0072
136976,0,0.0014
136977,0,0.0039
136978,0,0.0018
136979,0,0.001
136980,0,0.0007
136981,0,0.0011
136982,0,0.0027
136983,0,0.0013
136984,0,0.0018
136985,0,0.0131
136986,0,0.0018
136987,0,0.0053
136988,0,0.0023
136989,0,0.0029
136990,0,0.0005
136991,0,0.0017
136992,0,0.0007
136993,0,0.0011
136994,0,0.0058
136995,0,0.0148
136996,0,0.0024
136997,0,0.0046
136998,0,0.0028
136999,0,0.003
137000,0,0.0196
137001,0,0.0017
137002,0,0.0031
137003,0,0.0029
137004,0,0.0441
137005,1,0.9997
137006,0,0.0004
137007,0,0.0017
137008,0,0.0036
137009,0,0.0108
137010,0,0.0053
137011,0,0.0042
137012,0,0.0143
137013,0,0.0049
137014,0,0.0009
137015,0,0.0089
137016,0,0.0047
137017,0,0.0011
137018,0,0.0018
137019,0,0.0015
137020,0,0.0329
137021,0,0.0093
137022,0,0.0008
137023,0,0.0014
137024,0,0.0025
137025,0,0.0009
137026,0,0.0128
137027,0,0.0028
137028,0,0.0015
137029,0,0.0011
137030,0,0.0085
137031,0,0.0071
137032,0,0.0038
137033,0,0.0046
137034,0,0.0049
137035,0,0.0129
137036,0,0.0041
137037,1,0.9925
137038,0,0.0041
137039,0,0.0014
137040,0,0.001
137041,0,0.0082
137042,0,0.0007
137043,0,0.0022
137044,0,0.0012
137045,0,0.0012
137046,0,0.0013
137047,0,0.0019
137048,0,0.0045
137049,0,0.0063
137050,0,0.0006
137051,0,0.003
137052,0,0.0072
137053,0,0.0023
137054,0,0.0013
137055,0,0.0026
137056,0,0.0011
137057,0,0.0012
137058,0,0.0022
137059,0,0.0065
137060,0,0.0008
137061,0,0.0011
137062,0,0.0093
137063,0,0.0046
137064,0,0.0046
137065,0,0.0118
137066,0,0.0046
137067,0,0.0012
137068,0,0.0017
137069,0,0.0027
137070,0,0.0031
137071,0,0.0021
137072,0,0.0008
137073,0,0.0019
137074,0,0.0057
137075,0,0.0032
137076,0,0.0006
137077,0,0.0021
137078,0,0.0017
137079,0,0.0039
137080,0,0.0042
137081,0,0.0042
137082,0,0.0014
137083,0,0.0004
137084,0,0.0022
137085,0,0.0058
137086,0,0.0054
137087,0,0.0015
137088,0,0.0125
137089,0,0.0014
137090,0,0.0024
137091,0,0.0008
137092,0,0.009
137093,0,0.006
137094,0,0.0125
137095,0,0.0039
137096,0,0.001
137097,0,0.0076
137098,0,0.0056
137099,0,0.0032
137100,0,0.0012
137101,0,0.0025
137102,0,0.0052
137103,0,0.0097
137104,0,0.0005
137105,0,0.0011
137106,0,0.0216
137107,0,0.0024
137108,0,0.0014
137109,0,0.0018
137110,0,0.0104
137111,0,0.0171
137112,1,0.9817
137113,0,0.0163
137114,0,0.001
137115,0,0.0007
137116,0,0.0051
137117,0,0.001
137118,0,0.0024
137119,0,0.011
137120,0,0.0016
137121,0,0.001
137122,0,0.0049
137123,0,0.002
137124,0,0.0136
137125,0,0.0008
137126,0,0.0007
137127,0,0.0037
137128,0,0.0012
137129,0,0.0018
137130,0,0.0017
137131,0,0.0025
137132,0,0.0016
137133,0,0.0014
137134,0,0.013
137135,0,0.0057
137136,0,0.0008
137137,0,0.0008
137138,0,0.0029
137139,0,0.001
137140,0,0.0091
137141,0,0.0016
137142,0,0.0025
137143,0,0.0018
137144,0,0.0016
137145,0,0.0008
137146,0,0.0026
137147,0,0.0006
137148,0,0.0071
137149,0,0.0024
137150,0,0.0051
137151,0,0.0013
137152,0,0.0034
137153,0,0.0201
137154,0,0.0038
137155,0,0.0028
137156,0,0.0071
137157,0,0.0036
137158,0,0.0012
137159,0,0.0028
137160,0,0.0029
137161,0,0.0021
137162,0,0.003
137163,0,0.0006
137164,0,0.0023
137165,0,0.0034
137166,0,0.0025
137167,0,0.0041
137168,0,0.0028
137169,0,0.0038
137170,0,0.0015
137171,0,0.0022
137172,0,0.0011
137173,0,0.0034
137174,0,0.0004
137175,0,0.004
137176,0,0.0015
137177,0,0.0044
137178,0,0.0016
137179,0,0.003
137180,0,0.0009
137181,0,0.0028
137182,0,0.0095
137183,0,0.002
137184,0,0.0022
137185,0,0.0043
137186,0,0.0024
137187,0,0.0009
137188,0,0.0089
137189,0,0.0093
137190,0,0.0013
137191,0,0.0018
137192,1,0.5037
137193,0,0.0012
137194,0,0.0016
137195,0,0.0155
137196,0,0.0053
137197,0,0.0027
137198,0,0.008
137199,0,0.0006
137200,0,0.0012
137201,0,0.0057
137202,0,0.0046
137203,0,0.0012
137204,0,0.0005
137205,0,0.0021
137206,0,0.0011
137207,0,0.0066
137208,0,0.0067
137209,0,0.001
137210,0,0.0026
137211,0,0.0022
137212,0,0.0056
137213,0,0.0018
137214,0,0.001
137215,0,0.0045
137216,0,0.0062
137217,0,0.0029
137218,0,0.0061
137219,0,0.0017
137220,0,0.0049
137221,0,0.0042
137222,0,0.0059
137223,0,0.0017
137224,0,0.0027
137225,0,0.0006
137226,0,0.0013
137227,0,0.0019
137228,0,0.0088
137229,0,0.0028
137230,0,0.0007
137231,0,0.0055
137232,0,0.0012
137233,0,0.0031
137234,0,0.0011
137235,0,0.0013
137236,0,0.0011
137237,0,0.0009
137238,0,0.0013
137239,0,0.0031
137240,0,0.001
137241,0,0.008
137242,0,0.009
137243,0,0.0036
137244,0,0.0084
137245,0,0.0116
137246,0,0.0046
137247,0,0.0009
137248,0,0.0018
137249,0,0.0093
137250,0,0.0022
137251,0,0.0037
137252,0,0.0022
137253,0,0.0014
137254,0,0.0006
137255,0,0.0066
137256,0,0.0064
137257,0,0.0013
137258,0,0.0008
137259,0,0.001
137260,0,0.0047
137261,0,0.0031
137262,0,0.0035
137263,0,0.0076
137264,0,0.0125
137265,0,0.0082
137266,0,0.0013
137267,0,0.0005
137268,0,0.0006
137269,0,0.0013
137270,0,0.001
137271,0,0.001
137272,0,0.0194
137273,0,0.0008
137274,0,0.0013
137275,0,0.0019
137276,0,0.0009
137277,0,0.0046
137278,0,0.0018
137279,0,0.0071
137280,0,0.0004
137281,0,0.0022
137282,0,0.0021
137283,0,0.0069
137284,0,0.0017
137285,0,0.0019
137286,0,0.004
137287,0,0.0023
137288,0,0.0089
137289,0,0.0013
137290,0,0.0016
137291,0,0.001
137292,0,0.0026
137293,0,0.0033
137294,0,0.0025
137295,0,0.0015
137296,0,0.0041
137297,0,0.0043
137298,0,0.0048
137299,0,0.0011
137300,0,0.0065
137301,0,0.0017
137302,0,0.0007
137303,0,0.0046
137304,0,0.0056
137305,0,0.018
137306,0,0.0055
137307,0,0.002
137308,0,0.0029
137309,0,0.0015
137310,0,0.0028
137311,0,0.0042
137312,0,0.0101
137313,0,0.0013
137314,0,0.0013
137315,0,0.0028
137316,0,0.0007
137317,0,0.0013
137318,0,0.0021
137319,0,0.0032
137320,0,0.0026
137321,0,0.0009
137322,0,0.0019
137323,0,0.0085
137324,0,0.0079
137325,0,0.0116
137326,0,0.0006
137327,0,0.003
137328,0,0.0068
137329,0,0.0017
137330,0,0.0078
137331,0,0.0061
137332,0,0.0012
137333,0,0.0041
137334,0,0.0035
137335,0,0.0024
137336,0,0.0162
137337,0,0.0014
137338,0,0.0033
137339,0,0.0015
137340,0,0.0007
137341,0,0.0005
137342,0,0.0009
137343,0,0.0036
137344,0,0.0037
137345,0,0.0017
137346,0,0.0061
137347,0,0.0055
137348,0,0.0027
137349,0,0.0016
137350,0,0.0014
137351,0,0.0071
137352,0,0.0016
137353,0,0.0038
137354,0,0.0005
137355,0,0.0011
137356,0,0.0004
137357,0,0.0011
137358,0,0.0005
137359,0,0.0015
137360,0,0.0042
137361,0,0.0012
137362,0,0.0022
137363,0,0.001
137364,0,0.0048
137365,0,0.0006
137366,0,0.0046
137367,0,0.0221
137368,0,0.0012
137369,0,0.0026
137370,0,0.0007
137371,0,0.0064
137372,0,0.0015
137373,0,0.0027
137374,0,0.0007
137375,0,0.0012
137376,0,0.0017
137377,0,0.0004
137378,0,0.0022
137379,1,0.997
137380,0,0.0124
137381,0,0.001
137382,0,0.0006
137383,0,0.0021
137384,0,0.0025
137385,1,0.9849
137386,0,0.0005
137387,0,0.0002
137388,0,0.0007
137389,0,0.0014
137390,0,0.0005
137391,0,0.0009
137392,0,0.0007
137393,0,0.0028
137394,0,0.0026
137395,0,0.0016
137396,0,0.0008
137397,0,0.003
137398,0,0.0014
137399,0,0.0218
137400,0,0.001
137401,0,0.0073
137402,0,0.0012
137403,0,0.0125
137404,0,0.0038
137405,0,0.0027
137406,0,0.0048
137407,0,0.001
137408,0,0.0027
137409,0,0.0082
137410,0,0.0036
137411,0,0.0011
137412,0,0.0011
137413,0,0.0061
137414,0,0.0008
137415,0,0.0019
137416,0,0.0007
137417,0,0.0066
137418,0,0.0018
137419,0,0.0055
137420,0,0.0025
137421,0,0.0005
137422,0,0.0026
137423,0,0.0086
137424,0,0.0083
137425,0,0.0027
137426,0,0.0091
137427,0,0.0048
137428,0,0.0025
137429,0,0.0016
137430,0,0.0046
137431,0,0.0064
137432,0,0.0021
137433,0,0.003
137434,0,0.0035
137435,0,0.0032
137436,0,0.0009
137437,1,0.9872
137438,0,0.0011
137439,0,0.0006
137440,0,0.0034
137441,0,0.0068
137442,0,0.0041
137443,0,0.0067
137444,0,0.0028
137445,0,0.0025
137446,0,0.0044
137447,0,0.0042
137448,0,0.0011
137449,0,0.0018
137450,0,0.0015
137451,0,0.0024
137452,0,0.0011
137453,0,0.001
137454,0,0.005
137455,0,0.004
137456,0,0.0021
137457,0,0.0013
137458,0,0.0037
137459,0,0.001
137460,0,0.0044
137461,0,0.0042
137462,0,0.002
137463,0,0.0078
137464,0,0.0011
137465,0,0.0018
137466,0,0.001
137467,0,0.0123
137468,0,0.0026
137469,0,0.0004
137470,0,0.0022
137471,0,0.0027
137472,0,0.0006
137473,0,0.0031
137474,0,0.0012
137475,0,0.0018
137476,0,0.0039
137477,0,0.004
137478,0,0.0165
137479,0,0.0022
137480,0,0.0062
137481,0,0.0013
137482,0,0.0012
137483,0,0.0012
137484,0,0.0013
137485,0,0.0005
137486,0,0.0124
137487,0,0.0125
137488,0,0.001
137489,0,0.0035
137490,0,0.0074
137491,0,0.0027
137492,0,0.001
137493,0,0.008
137494,0,0.0022
137495,0,0.0018
137496,0,0.0004
137497,0,0.0021
137498,0,0.0047
137499,0,0.0038
137500,0,0.0016
137501,0,0.001
137502,0,0.0007
137503,0,0.0051
137504,0,0.0048
137505,0,0.0011
137506,0,0.0039
137507,0,0.0113
137508,0,0.0006
137509,0,0.0025
137510,0,0.0029
137511,0,0.0007
137512,0,0.0014
137513,0,0.0041
137514,0,0.0014
137515,0,0.0024
137516,0,0.001
137517,0,0.0014
137518,0,0.0009
137519,0,0.0049
137520,0,0.0018
137521,0,0.0021
137522,0,0.0014
137523,0,0.0035
137524,0,0.0028
137525,0,0.0017
137526,0,0.0015
137527,0,0.0052
137528,0,0.0157
137529,0,0.001
137530,0,0.0024
137531,0,0.0078
137532,0,0.0018
137533,0,0.0039
137534,0,0.0013
137535,0,0.0021
137536,0,0.004
137537,1,0.982
137538,0,0.0019
137539,0,0.0011
137540,0,0.0104
137541,0,0.0014
137542,0,0.0024
137543,0,0.0024
137544,0,0.0019
137545,0,0.0008
137546,0,0.0012
137547,0,0.0009
137548,0,0.0023
137549,0,0.0025
137550,0,0.0036
137551,0,0.0014
137552,0,0.0019
137553,0,0.0009
137554,0,0.0041
137555,0,0.0038
137556,0,0.0095
137557,0,0.0019
137558,0,0.0018
137559,0,0.0001
137560,0,0.0006
137561,0,0.0015
137562,0,0.0059
137563,0,0.0007
137564,0,0.0023
137565,0,0.0035
137566,0,0.0125
137567,0,0.001
137568,0,0.0009
137569,0,0.0027
137570,0,0.0023
137571,0,0.0011
137572,0,0.0015
137573,0,0.0056
137574,0,0.0105
137575,0,0.0021
137576,0,0.0023
137577,0,0.0023
137578,0,0.0019
137579,0,0.0012
137580,0,0.0021
137581,0,0.0037
137582,0,0.0067
137583,0,0.0007
137584,0,0.0012
137585,0,0.001
137586,0,0.0037
137587,0,0.0168
137588,0,0.0038
137589,0,0.0034
137590,0,0.0126
137591,0,0.0018
137592,0,0.002
137593,0,0.0065
137594,0,0.004
137595,0,0.0014
137596,0,0.0024
137597,0,0.0022
137598,0,0.0025
137599,0,0.0028
137600,0,0.0015
137601,0,0.0044
137602,0,0.0078
137603,0,0.0012
137604,0,0.0014
137605,0,0.0071
137606,0,0.0012
137607,0,0.001
137608,0,0.0095
137609,0,0.0029
137610,0,0.0025
137611,0,0.0047
137612,0,0.0043
137613,0,0.0017
137614,0,0.002
137615,0,0.0067
137616,0,0.0015
137617,0,0.0044
137618,0,0.0013
137619,0,0.0012
137620,0,0.0003
137621,0,0.0011
137622,0,0.0044
137623,0,0.0047
137624,0,0.0052
137625,0,0.0044
137626,0,0.0018
137627,0,0.0021
137628,0,0.0027
137629,0,0.0006
137630,1,0.9882
137631,0,0.0011
137632,0,0.0071
137633,0,0.0018
137634,0,0.0052
137635,0,0.002
137636,0,0.0083
137637,0,0.0027
137638,0,0.0011
137639,0,0.0115
137640,0,0.001
137641,0,0.0159
137642,0,0.0074
137643,0,0.0037
137644,0,0.0025
137645,0,0.0041
137646,0,0.0176
137647,0,0.0018
137648,0,0.0024
137649,0,0.0005
137650,0,0.0008
137651,0,0.0017
137652,0,0.0011
137653,0,0.0017
137654,0,0.0042
137655,0,0.0029
137656,0,0.0011
137657,0,0.0019
137658,0,0.0011
137659,0,0.0014
137660,0,0.001
137661,0,0.0045
137662,0,0.002
137663,0,0.0015
137664,0,0.0117
137665,0,0.0008
137666,0,0.001
137667,0,0.001
137668,0,0.0017
137669,0,0.012
137670,0,0.0018
137671,0,0.001
137672,0,0.0024
137673,0,0.0101
137674,0,0.0201
137675,0,0.0013
137676,0,0.0079
137677,0,0.0176
137678,0,0.0014
137679,0,0.0068
137680,0,0.0006
137681,0,0.0008
137682,0,0.0013
137683,0,0.0021
137684,0,0.0023
137685,0,0.0022
137686,0,0.0048
137687,0,0.0019
137688,0,0.0009
137689,0,0.0005
137690,0,0.0011
137691,0,0.0112
137692,0,0.0037
137693,0,0.0009
137694,0,0.0022
137695,0,0.0022
137696,0,0.0004
137697,0,0.0022
137698,0,0.0015
137699,0,0.005
137700,0,0.0022
137701,0,0.0018
137702,0,0.0009
137703,0,0.0013
137704,0,0.001
137705,0,0.007
137706,0,0.0022
137707,0,0.0049
137708,0,0.0016
137709,0,0.0047
137710,0,0.0014
137711,0,0.0021
137712,0,0.0458
137713,0,0.0009
137714,0,0.0098
137715,0,0.0024
137716,0,0.001
137717,0,0.0011
137718,0,0.0045
137719,0,0.0108
137720,0,0.0135
137721,0,0.003
137722,0,0.0026
137723,0,0.0021
137724,0,0.0066
137725,0,0.0117
137726,0,0.0026
137727,0,0.0104
137728,0,0.001
137729,0,0.0042
137730,0,0.0007
137731,0,0.0012
137732,0,0.0027
137733,0,0.0018
137734,0,0.0007
137735,0,0.0045
137736,0,0.0032
137737,0,0.004
137738,0,0.0015
137739,0,0.0035
137740,0,0.004
137741,0,0.0092
137742,0,0.0014
137743,0,0.0009
137744,0,0.0045
137745,0,0.0012
137746,0,0.0012
137747,0,0.0012
137748,0,0.0013
137749,0,0.0053
137750,0,0.0019
137751,0,0.0143
137752,0,0.0009
137753,0,0.0027
137754,0,0.01
137755,0,0.0083
137756,0,0.0025
137757,0,0.0025
137758,0,0.0026
137759,0,0.001
137760,0,0.0035
137761,0,0.002
137762,0,0.0013
137763,0,0.0016
137764,0,0.0016
137765,0,0.0034
137766,0,0.0023
137767,0,0.0017
137768,0,0.0017
137769,0,0.0026
137770,0,0.0023
137771,0,0.0004
137772,0,0.0013
137773,0,0.0027
137774,0,0.0021
137775,0,0.0017
137776,0,0.0005
137777,0,0.0031
137778,0,0.003
137779,0,0.003
137780,0,0.0025
137781,0,0.0108
137782,0,0.0009
137783,0,0.0012
137784,0,0.0013
137785,0,0.0033
137786,0,0.0008
137787,0,0.0012
137788,0,0.0047
137789,0,0.0019
137790,0,0.0041
137791,0,0.0015
137792,0,0.0034
137793,0,0.0009
137794,0,0.0019
137795,0,0.0028
137796,0,0.0014
137797,0,0.0013
137798,0,0.0071
137799,0,0.0034
137800,0,0.0023
137801,0,0.0051
137802,0,0.0022
137803,0,0.0007
137804,0,0.0008
137805,0,0.0015
137806,0,0.002
137807,0,0.0307
137808,0,0.0053
137809,1,0.9971
137810,0,0.0012
137811,0,0.0006
137812,0,0.0013
137813,0,0.0007
137814,0,0.0045
137815,0,0.0016
137816,0,0.0035
137817,0,0.0132
137818,0,0.002
137819,0,0.0055
137820,0,0.0023
137821,0,0.0012
137822,0,0.0082
137823,0,0.0021
137824,0,0.0008
137825,0,0.0493
137826,0,0.0019
137827,0,0.0025
137828,0,0.0015
137829,0,0.0053
137830,0,0.0056
137831,0,0.0017
137832,0,0.0016
137833,0,0.0082
137834,0,0.0046
137835,0,0.0038
137836,0,0.0015
137837,0,0.0036
